Gender,Age,Ethnicity,Religion,Parents Work,Siblings,Housing,Current GPA,Desired GPA,Absences,Video Games,Game Hours,Game Genre,Game With Friends,Game Timing,Gaming Stopped,Main Reason Started Gaming,Part-Time,Part-Time Hours,Job Sector,Days Of Week Worked,CCAs Participated,No. Of CCAs Participated,CCA Names,CCA Role,CCA Hours,School Satisfaction Level,Satisfied Area,Unsatisfied Area,Support Level,Sense Of Belonging,Future Planned,Career Option 1,Career Option 2,Career Option 3,Interested Career 1,Interested Career 2,Interested Career 3,Skill 1,Skill 2,Skill 3
Male,19,Chinese,Buddhist,Both Works,2,HDB,2.71,2.86,0,Yes,30 - 39,Action,Yes,1800,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,5,Study Life,Results,7,No,Not yet,Nan,Nan,Nan,Software Developer ,Ai Analyst ,Cybersecurity Expert,Code ,Detailed ,Adaptable
Male,21,Chinese,Buddhist,Both Works,2,HDB,0.98,1.5,6,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Yes,11 - 15,Retail,"Tuesday, Saturday",No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,8,None,Results,7,Yes,Not yet,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Male,19,Chinese,Buddhist,Father Only,2,Condominium,2.86,3.3,0,Yes,20 - 29,Action,Yes,2000,Yes,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,3,None,Results,4,Yes,Not yet,Nan,Nan,Nan,Entrepreneur ,Food Reviewer ,Food Vlogger,Innovative ,Critical ,Entertaining
Male,22,Chinese,Catholic,Both Works,2,Bungalow,3.1,4,7,Yes,> 84,Other,Yes,1800,Yes,Entertainment,Yes,> 35,Entertainment,"Monday, Tuesday, Saturday, Sunday",No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,5,Social Life,Lecturers,7,No,Undecided,Nan,Nan,Nan,Nan,Nan,Nan,Detailed,Nan,Nan
Male,19,Chinese,Buddhist,Both Works,1,HDB,3,3.5,1,Yes,40 - 49,Action,Yes,1300,No,Escape from reality,No,Don't Work,Don't Work,Don't Work,Yes,3,Engineering studies club,Member,0,8,Classmates,None,5,Yes,Undecided,Nan,Nan,Nan,Engineer,Nan,Nan,Nan,Nan,Nan
Male,19,Chinese,Christian,Father Only,1,HDB,3.75,3.8,4,Yes,10 - 19,Action,Yes,1900,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,7,Social Life,Results,5,No,Undecided,Nan,Nan,Nan,Portfolio Manager ,Trader ,Actuary,Analytical ,Creative ,Communication
Male,20,Chinese,Taoist,Both Works,2,Condominium,3.53,3.7,0,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Yes,< 5,Education,"Saturday, Sunday",No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,7,Classmates,Study Life,8,Yes,Planned,Police Coast Guard,Navy,Swimming Coach,Nan,Nan,Nan,Patience,Resilience,Discipline
Female,19,Chinese,Buddhist,Mother Only,2,HDB,3.63,3.75,3,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,8,Social Life,Study Life,5,Yes,Not yet,Nan,Nan,Nan,Investment Banker ,Economist ,Nan Yet,Problem Solver ,Analytical ,Communication
Male,19,Chinese,Buddhist,Mother Only,0,HDB,3.68,4,3,Yes,20 - 29,Action,Yes,2100,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,7,Results,Social Life,7,Yes,Not yet,Nan,Nan,Nan,Programmer ,Developer ,Nan,Programming Knowledge,Nan,Nan
Female,19,Chinese,Christian,Both Works,1,HDB,2.57,3.2,10,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Yes,11 - 15,Retail,"Friday, Saturday",No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,2,Social Life,Lecturers,1,No,Undecided,Nan,Nan,Nan,Art Director ,Graphic Designer ,Uiux Designer,Creativity ,Open Mind ,Teamwork
Male,19,Chinese,Christian,Both Works,1,Terrace,2.86,3,0,Yes,10 - 19,Battle Royale,No,2100,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,8,Study Life,Results,6,Yes,Planned,Writer ,Screenwriter ,English Teacher,Nan,Nan,Nan,Creative ,Persistence ,Willing To Learn
Female,19,Chinese,Buddhist,Both Works,2,HDB,3.25,3.6,8,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,No,Don't Work,Don't Work,Don't Work,Yes,1,students union,Member,5,7,Social Life,Results,5,Yes,Planned,"Business Analyst 
","Entrepreneur
",Hr Manager,Nan,Nan,Nan,"Detail Oriented
","Innovative
",Leadership
Female,18,Chinese,Free thinker,Both Works,3,HDB,2.9,4,0,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,6,Social Life,Results,6,Yes,Not yet,Nan,Nan,Nan,Researcher,Nan,Nan,Patience,Nan,Nan
Female,18,Chinese,Buddhist,Both Works,1,Condominium,3.3,3.7,1,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,6,None,Results,6,No,Not yet,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Female,19,Chinese,Buddhist,Both Works,1,HDB,3.3,3.5,1,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,9,Classmates,Lecturers,5,No,Undecided,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Female,19,Chinese,Free thinker,Father Only,1,HDB,3.3,3.5,0,Yes,20 - 29,Adventure,No,1500,No,Entertainment,Yes,6 - 10,Entertainment,Saturday,Yes,1,DFT Interest Group,Member,4,7,Classmates,Lecturers,5,Yes,Not yet,Nan,Nan,Nan,Tech Crew For Media Entertainment ,Preschool Teacher ,Psychologist,Teamwork ,Patience ,Understanding
Female,20,sri lankan-filipino,Free thinker,Both Works,0,HDB,2.89,3,10,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Yes,26 - 30,Food & Beverage,"Wednesday, Friday, Saturday, Sunday",No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,3,Social Life,Courses,6,No,Undecided,Nan,Nan,Nan,Songwriter ,Music Producer ,Youtuber,Music Knowledge ,Editing ,Patience
Female,19,Chinese,Free thinker,Mother Only,1,HDB,3.79,4,5,Yes,10 - 19,Battle Royale,Yes,2300,No,Entertainment,Yes,26 - 30,Food & Beverage,"Tuesday, Friday, Saturday, Sunday",Yes,1,Sketch art club,Member,2,7,Social Life,Food,8,Yes,Undecided,Nan,Nan,Nan,Financial Analyst ,Psychologist ,Animator,Money Savvy ,Critical Thinking ,Art Skills
Male,18,Chinese,Catholic,Both Works,2,Terrace,3.1,4,6,Yes,< 9,Action,Yes,2300,No,Escape from reality,Yes,21 - 25,Retail,"Monday, Thursday, Saturday, Sunday",Yes,1,SU,Member,0,2,None,Results,6,No,Undecided,Nan,Nan,Nan,Data Scientist,Data Engineer,Food Critic,Will To Live,Perseverance,Good Gpa
Male,21,Chinese,Buddhist,Both Works,3,HDB,3.05,3.5,2,Yes,20 - 29,Survival,Yes,1900,No,To make new friends,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,8,Social Life,Results,9,Yes,Planned,Designer ,Navy ,Programmer,Nan,Nan,Nan,Idea ,Swim ,Coding
Female,20,Chinese,Free thinker,Both Works,2,HDB,3.1,3.4,5,Yes,< 9,Simulation,Yes,2000,No,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,1,Peer Supporter Club,Leader/President,12,6,None,None,7,Yes,Not yet,Nan,Nan,Nan,Florist ,Social Media Content Creator ,Counsellor,Creativity,Passion,Empathy
Male,26,Chinese,Free thinker,Both Works,0,HDB,2.86,3,1,Yes,10 - 19,Action,Yes,1800,No,Entertainment,Yes,16 - 20,Security (Lifeguard),"Saturday, Sunday",Yes,1,Adventure Learning Club,Student Advisor,6,9,Social Life,Results,9,Yes,Planned,Physiotherapist ,Occupational Therapist ,Therapy Assistant,Nan,Nan,Nan,Understanding ,Patience ,Working Knowledge
Male,17,Chinese,Buddhist,Both Works,1,HDB,4,4,0,Yes,20 - 29,Action,Yes,1900,Yes,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,1,Hockey ,Member,6,10,Study Life,None,10,Yes,Not yet,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Male,21,Indian,Hindu,Mother Only,1,HDB,2.5,3,1,Yes,50 - 59,Action,Yes,2200,Yes,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,7,Social Life,Results,7,Yes,Not yet,Nan,Nan,Nan,Police,Chef,Dropshipping,Patience,Cooking,Passion To Learn
Female,21,Malay,Islam,Both Works,3,HDB,2.2,3.3,1,Yes,> 84,Sports,Yes,1400,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,5,Classmates,Results,5,Yes,Not yet,Nan,Nan,Nan,Early Childhood Teacher ,It Engineer ,Nurse,Patience ,It Related Skills,Nan
Male,19,Chinese,Buddhist,Father Only,1,HDB,3.38,3.5,1,Yes,10 - 19,Action,Yes,2300,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,8,Classmates,Results,8,Yes,Planned,"Data Analyst
","Financial Consultant
",Financial Technology Developer,Nan,Nan,Nan,"Bi
","Financial Knowledge
",Sdlc
Male,19,Chinese,Christian,Both Works,1,Terrace,2.86,3,0,Yes,10 - 19,Battle Royale,No,0000,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,8,Study Life,Results,6,Yes,Planned,Teacher ,Writer ,Influencer,Nan,Nan,Nan,Creativity ,Persistence ,Patience
Female,20,Chinese,Buddhist,Both Works,2,Condominium,2,3,0,Yes,< 9,Battle Royale,Yes,2200,No,Entertainment,Yes,< 5,Food & Beverage,Saturday,Yes,1,handball,EXCO,4,7,Classmates,Results,7,Yes,Not yet,Nan,Nan,Nan,Entrepreneurship,Nan,Nan,Open Minded,Nan,Nan
Female,20,Chinese,Taoist,Both Works,0,HDB,3.04,3.5,0,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,6,Classmates,Results,6,No,Undecided,Nan,Nan,Nan,"Data Analysis
","Work Related To The Bank
",Nan,"Organise
","Good With Numbers
",Patience
Female,20,Chinese,Buddhist,Father Only,2,HDB,2.69,3,0,Yes,< 9,Strategy,Yes,2000,Yes,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,2,Peer Supporter Club and Leave club,EXCO,10,8,Social Life,Results,7,Yes,Not yet,Nan,Nan,Nan,Front-End Developer ,Ui Ux Designer ,Researcher,Coding ,Creativity ,Attention To Details
Male,18,Chinese,Buddhist,Both Works,1,Condominium,2.71,3.2,2,Yes,< 9,Moba,Yes,2300,No,Entertainment,Yes,< 5,Food & Beverage,Saturday,Yes,1,Urban strength NYP,Member,3,4,Social Life,Classmates,4,No,Planned,Pe Teacher,Physiotherapist,Occupational Therapist,Nan,Nan,Nan,Empathy,Patience,Resilience
Male,20,Burmese ,Christian,Father Only,1,Condominium,3.98,4,3,Yes,10 - 19,Battle Royale,Yes,2300,Yes,Escape from reality,Yes,11 - 15,Food & Beverage,"Saturday, Sunday",Yes,2,"Sports club, Dragon Boat ",EXCO,10,9,Social Life,Courses,7,Yes,Planned,Tattoo Artist,Graphic Designer,Brand Entrepreneur,Nan,Nan,Nan,Patience,Precision,People Skills
Male,18,Chinese,Christian,Both Works,3,HDB,4,4,0,Yes,< 9,Battle Royale,Yes,1800,No,Entertainment,Yes,11 - 15,Food & Beverage,"Monday, Tuesday, Thursday, Sunday",Yes,1,Basketball,Leader/President,6,7,Lecturers,Classmates,7,No,Not yet,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Male,17,Chinese,Buddhist,Both Works,1,HDB,3.8,3.8,0,Yes,< 9,Adventure,Yes,2000,No,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,1,darts,Member,1,10,Results,None,8,Yes,Undecided,Nan,Nan,Nan,Engineer,Nan,Nan,Patience,Nan,Nan
Male,19,Chinese,Free thinker,Both Works,1,HDB,3.77,4,0,Yes,< 9,Action,Yes,2200,Yes,Escape from reality,Yes,16 - 20,Food & Beverage,"Monday, Saturday, Sunday",Yes,2,"Tpms, tpbme",EXCO,3,10,School life,None,10,Yes,Undecided,Nan,Nan,Nan,Doctor,Nan,Nan,Patience,Nan,Nan
Male,19,Malay,Islam,Both Works,3,Condominium,3.6,3.8,0,Yes,10 - 19,Action,Yes,2000,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,1,None,Study Life,6,No,Undecided,Nan,Nan,Nan,Chemical Engineer ,Process Technician ,Lab Tech,Critical Thinking ,Good Memorization Skills,Nan
Male,19,Chinese,Free thinker,Both Works,1,Condominium,3.09,3.3,2,Yes,10 - 19,Adventure,Yes,2000,No,Entertainment,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,10,None,Lecturers,5,No,Undecided,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Male,19,Chinese,Christian,Father Only,3,Terrace,3.32,3.81,2,Yes,10 - 19,Action,Yes,0000,No,Escape from reality,No,Don't Work,Don't Work,Don't Work,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,6,Classmates,Results,6,Yes,Planned,"Software Engineer
","Ai Ml Engineer
",Algorithm Engineer,Nan,Nan,Nan,"Problem Solving 
","Perseverance 
",Resilience
Female,19,Chinese,Christian,Both Works,0,HDB,3.53,3.85,0,No,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Don't Play Video Games,Yes,< 5,Education,Saturday,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,7,Social Life,Results,6,Yes,Undecided,Nan,Nan,Nan,"Psychiatrist
","Hr Manager
",Poly/Uni Lecturer,"Patience
","People Skills
",Patience
Male,18,Chinese,Buddhist,Both Works,1,Condominium,2.71,3.3,2,Yes,< 9,Moba,Yes,0000,No,Entertainment,Yes,< 5,Food & Beverage,Saturday,Yes,1,NYP urban strength ,Member,3,3,Social Life,Classmates,6,No,Planned,Pe Teacher ,Physiotherapist ,Occupational Therapist,Nan,Nan,Nan,Patience ,Resilience ,Respect
Female,18,Filipino,Catholic,Both Works,2,HDB,2.73,3.5,0,Yes,30 - 39,Other,No,0900,No,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,3,"Catholic Youth Community, Sakuran Japanese Culture Club, Boardgames Inc",Member,3,6,Social Life,Results,5,Yes,Undecided,Nan,Nan,Nan,Comic Artist,Illustrator,Concept Artist,Creativity,Adaptability,Nan
Female,18,Chinese,Free thinker,Mother Only,0,HDB,3.28,3.9,5,Yes,40 - 49,Adventure,Yes,1500,Yes,Entertainment,No,Don't Work,Don't Work,Don't Work,Yes,1,Boardgames club,Member,5,4,Social Life,Study Life,4,No,Not yet,Nan,Nan,Nan,Start Own Business ,Interior Design ,Game Desginer,Hands On ,Maya ,Resilience
Male,20,Chinese,Free thinker,Mother Only,6,HDB,3.07,4,0,Yes,40 - 49,Action,Yes,2030,No,Entertainment,Yes,6 - 10,Food & Beverage,Saturday,No,Don't Have CCA,Don't Have CCA,Don't Have CCA,Don't Have CCA,8,Classmates,Courses,8,No,Not yet,Nan,Nan,Nan,Waiter,Nan,Nan,Patience,Nan,Nan
